"Station code";Date;"Particulate matter (PM₁₀) One hour average in µg/m³";"Ozone (O₃) One hour average in µg/m³";"Nitrogen dioxide (NO₂) One hour average in µg/m³";"Particulate matter (PM₂,₅) One hour average in µg/m³";"Sulphur dioxide (SO₂) One hour average in µg/m³";"Air quality index"
DEBE032;"'2025-08-01 01:00'";10;23;4;6;-;good
DEBE032;"'2025-08-01 02:00'";10;24;5;6;-;good
DEBE032;"'2025-08-01 03:00'";11;19;5;7;-;good
DEBE032;"'2025-08-01 04:00'";11;20;4;6;-;good
DEBE032;"'2025-08-01 05:00'";9;36;3;6;-;good
DEBE032;"'2025-08-01 06:00'";9;45;2;5;-;good
DEBE032;"'2025-08-01 07:00'";9;43;2;6;-;good
DEBE032;"'2025-08-01 08:00'";10;37;3;6;-;good
DEBE032;"'2025-08-01 09:00'";10;43;4;7;-;good
DEBE032;"'2025-08-01 10:00'";11;47;2;7;-;good
DEBE032;"'2025-08-01 11:00'";10;49;2;7;-;good
DEBE032;"'2025-08-01 12:00'";10;57;2;6;-;good
DEBE032;"'2025-08-01 13:00'";11;61;2;7;-;good
DEBE032;"'2025-08-01 14:00'";12;59;2;7;-;good
DEBE032;"'2025-08-01 15:00'";11;52;2;8;-;good
DEBE032;"'2025-08-01 16:00'";11;55;2;8;-;good
DEBE032;"'2025-08-01 17:00'";11;58;2;7;-;good
DEBE032;"'2025-08-01 18:00'";9;58;2;6;-;good
DEBE032;"'2025-08-01 19:00'";9;53;2;6;-;good
DEBE032;"'2025-08-01 20:00'";10;43;2;6;-;good
DEBE032;"'2025-08-01 21:00'";10;32;2;6;-;good
DEBE032;"'2025-08-01 22:00'";8;38;2;5;-;good
DEBE032;"'2025-08-01 23:00'";9;27;3;6;-;good
DEBE032;"'2025-08-01 24:00'";9;23;3;6;-;good
DEBE032;"'2025-08-02 01:00'";9;29;4;6;-;good
DEBE032;"'2025-08-02 02:00'";10;28;5;6;-;good
DEBE032;"'2025-08-02 03:00'";9;34;5;6;-;good
DEBE032;"'2025-08-02 04:00'";9;37;5;5;-;good
DEBE032;"'2025-08-02 05:00'";9;39;6;5;-;good
DEBE032;"'2025-08-02 06:00'";8;37;6;5;-;good
DEBE032;"'2025-08-02 07:00'";9;35;5;5;-;good
DEBE032;"'2025-08-02 08:00'";9;37;4;6;-;good
DEBE032;"'2025-08-02 09:00'";9;42;4;6;-;good
DEBE032;"'2025-08-02 10:00'";9;50;2;6;-;good
DEBE032;"'2025-08-02 11:00'";9;56;2;6;-;good
DEBE032;"'2025-08-02 12:00'";9;60;2;6;-;good
DEBE032;"'2025-08-02 13:00'";9;59;2;5;-;good
DEBE032;"'2025-08-02 14:00'";8;52;2;5;-;good
DEBE032;"'2025-08-02 15:00'";8;58;2;5;-;good
DEBE032;"'2025-08-02 16:00'";10;62;2;6;-;good
DEBE032;"'2025-08-02 17:00'";9;64;2;5;-;good
DEBE032;"'2025-08-02 18:00'";9;62;2;4;-;good
DEBE032;"'2025-08-02 19:00'";8;64;2;4;-;good
DEBE032;"'2025-08-02 20:00'";9;51;2;4;-;good
DEBE032;"'2025-08-02 21:00'";10;42;2;5;-;good
DEBE032;"'2025-08-02 22:00'";8;38;2;5;-;good
DEBE032;"'2025-08-02 23:00'";9;32;6;5;-;good
DEBE032;"'2025-08-02 24:00'";10;25;8;6;-;good
DEBE032;"'2025-08-03 01:00'";17;16;7;11;-;good
DEBE032;"'2025-08-03 02:00'";13;13;6;8;-;good
DEBE032;"'2025-08-03 03:00'";12;22;5;7;-;good
DEBE032;"'2025-08-03 04:00'";9;33;4;5;-;good
DEBE032;"'2025-08-03 05:00'";8;34;3;5;-;good
DEBE032;"'2025-08-03 06:00'";9;30;3;6;-;good
DEBE032;"'2025-08-03 07:00'";9;30;3;6;-;good
DEBE032;"'2025-08-03 08:00'";9;39;2;6;-;good
DEBE032;"'2025-08-03 09:00'";8;42;2;5;-;good
DEBE032;"'2025-08-03 10:00'";9;40;2;5;-;good
DEBE032;"'2025-08-03 11:00'";8;41;2;5;-;good
DEBE032;"'2025-08-03 12:00'";8;45;2;5;-;good
DEBE032;"'2025-08-03 13:00'";8;52;2;5;-;good
DEBE032;"'2025-08-03 14:00'";7;54;2;4;-;good
DEBE032;"'2025-08-03 15:00'";7;54;2;4;-;good
DEBE032;"'2025-08-03 16:00'";7;52;2;4;-;good
DEBE032;"'2025-08-03 17:00'";6;47;2;4;-;good
DEBE032;"'2025-08-03 18:00'";4;51;2;3;-;good
DEBE032;"'2025-08-03 19:00'";5;51;2;3;-;good
DEBE032;"'2025-08-03 20:00'";6;52;2;4;-;good
DEBE032;"'2025-08-03 21:00'";7;53;3;4;-;good
DEBE032;"'2025-08-03 22:00'";7;52;2;5;-;good
DEBE032;"'2025-08-03 23:00'";7;50;3;5;-;good
DEBE032;"'2025-08-03 24:00'";8;47;4;5;-;good
DEBE032;"'2025-08-04 01:00'";9;37;4;6;-;good
DEBE032;"'2025-08-04 02:00'";10;30;5;7;-;good
